ALG,138,36.69100189,3.215409994,DZ-35,
MLA,138,35.857498,14.4775,MT-25,
ONT,138,34.05599976,-117.6009979,US-CA,
PER,138,-31.94029999,115.9670029,AU-WA,
PMI,138,39.55170059,2.738810062,ES-PM,
SHA,138,31.19790077,121.3359985,CN-31,
ALC,136,38.28219986,-0.558156013,ES-V,
CGK,136,-6.12556982,106.6559982,ID-BT,
JKT,136,,,ID-BT,
LIM,136,-12.0219,-77.114304,PE-LIM,
BUF,135,42.94049835,-78.73220062,US-NY,
MSQ,135,53.88249969,28.03070068,BY-MI,
OPO,135,41.24810028,-8.681389809,PT-13,
SJU,133,18.43939972,-66.00180054,PR-U-A,
YWG,133,49.90999985,-97.23989868,CA-MB,
CPQ,132,-22.85919952,-47.10820007,BR-SP,
NTE,132,47.15319824,-1.610730052,FR-R,
BDL,131,41.93889999,-72.68319702,US-CT,
VCP,131,-23.00740051,-47.1344986,BR-SP,
BAH,130,26.27079964,50.63359833,BH-15,
BRE,130,53.04750061,8.786669731,DE-HB,
SAT,130,29.53370094,-98.46980286,US-TX,
SDU,130,-22.91049957,-43.1631012,BR-RJ,
MCT,129,23.59329987,58.28440094,OM-MA,
ABQ,127,35.04019928,-106.6090012,US-NM,
BGY,127,45.673901,9.70417,IT-25,
CUN,127,21.03650093,-86.87709808,MX-ROO,
IKA,127,35.41609955,51.15219879,IR-07,
OKC,127,35.39310074,-97.60070038,US-OK,
RIC,127,37.50519943,-77.31970215,US-VA,
SGN,127,10.81879997,106.6520004,VN-23,
OMA,126,41.30319977,-95.89409637,US-NE,
YHM,126,43.17359924,-79.93499756,CA-ON,
BLR,125,13.1979,77.706299,IN-KA,
DMM,125,26.47120094,49.79790115,SA-04,
LTN,125,51.87469864,-0.368333012,GB-ENG,
OSA,125,,,,
ROC,125,43.1189003,-77.67240143,US-NY,
YQB,125,46.7911,-71.393303,CA-QC,
AEP,124,-34.5592,-58.4156,AR-C,
KIX,124,34.4272995,135.2440033,JP-27,
STN,124,51.88499832,0.234999999,GB-ENG,
HAV,123,22.98920059,-82.40910339,CU-03,
ANC,122,61.17440033,-149.9960022,US-AK,
CGH,122,-23.62611008,-46.65638733,BR-SP,
CHS,122,32.89860153,-80.04049683,US-SC,
CMB,122,7.180759907,79.88410187,LK-1,
MPL,122,43.57619858,3.963010073,FR-K,
SOU,122,50.95029831,-1.35679996,GB-ENG,
DRS,121,51.13280106,13.76720047,DE-SN,
SJO,121,9.993860245,-84.20880127,CR-A,
LBA,120,53.86589813,-1.660570025,GB-ENG,
BHD,119,54.61809921,-5.872499943,GB-NIR,
PSA,119,43.68389893,10.3927002,IT-52,
SKG,119,40.5196991,22.97089958,GR-54,
SZG,119,47.79330063,13.00430012,AT-5,
TCI,119,,,,
DPS,118,-8.748169899,115.1669998,ID-BA,
MEM,118,35.04240036,-89.97669983,US-TN,
RTM,118,51.95690155,4.437220097,NL-ZH,
EBB,117,0.042385999,32.44350052,UG-102,
MAA,117,12.99000549,80.16929626,IN-TN,
ORF,117,36.89459991,-76.20120239,US-VA,
TBS,117,41.6692009,44.95470047,GE-TB,
SDF,116,38.17440033,-85.73600006,US-KY,
BGO,115,60.29339981,5.218140125,NO-12,
GOA,115,44.4133,8.8375,IT-42,
MKE,115,42.94720078,-87.89659882,US-WI,
TUS,115,32.11610031,-110.9410019,US-AZ,
CTA,114,37.46680069,15.06639957,IT-82,
DAR,114,-6.878109932,39.20259857,TZ-02,
SVG,114,58.87670135,5.63778019,NO-11,
CWL,113,51.39670181,-3.343329906,GB-WLS,
DAC,113,23.843347,90.397783,BD-3,
LPA,113,27.93190002,-15.38659954,ES-CN,
SYR,113,43.11119843,-76.10630035,US-NY,
BAK,112,,,,
DSM,112,41.5340004,-93.6631012,US-IA,
GYD,112,40.46749878,50.04669952,AZ-BA,
MDW,112,41.7859993,-87.75240326,US-IL,
SDQ,112,18.42970085,-69.66889954,DO-01,
SKP,112,41.961601,21.621401,MK-004,
IEV,111,50.40169907,30.4496994,UA-32,
MHT,111,42.93259811,-71.43569946,US-NH,
DKR,110,14.73970032,-17.49020004,SN-DK,
GDN,110,54.37760162,18.46619987,PL-PM,
HAN,110,21.22120094,105.8069992,VN-15,
KTW,110,50.47430038,19.07999992,PL-SL,
TUL,110,36.19839859,-95.88809967,US-OK,
GMP,109,37.55830002,126.7910004,KR-11,
ISB,109,33.61669922,73.09919739,PK-IS,
KHI,109,24.9065,67.160797,PK-SD,
KTM,109,27.69659996,85.35910034,NP-BA,
LEJ,109,51.4238889,12.2363889,DE-SN,
LIT,109,34.72940063,-92.22429657,US-AR,
RNO,109,39.49909973,-119.7679977,US-NV,
TFS,109,28.04450035,-16.57250023,ES-CN,
VRN,109,45.395699,10.8885,IT-34,
YXE,109,52.17079926,-106.6999969,CA-SK,
BOI,108,43.56439972,-116.2229996,US-ID,
ESB,108,40.12810135,32.99509811,TR-06,
RSW,108,26.53619957,-81.75520325,US-FL,
ALA,107,43.35210037,77.04049683,KZ-ALM,
CTU,107,30.57850075,103.9469986,CN-51,
DAY,107,39.90240097,-84.2193985,US-OH,
PVD,107,41.73260117,-71.42040253,US-RI,
BRI,106,41.138901,16.760599,IT-75,
CCS,106,10.60311699,-66.99058533,VE-X,
HYD,106,17.23131752,78.42985535,IN-TG,
SVQ,106,37.41799927,-5.893109798,ES-AN,
YQG,106,42.27560043,-82.95559692,CA-ON,
BHM,105,33.56290054,-86.75350189,US-AL,
KEF,105,63.98500061,-22.60560036,IS-2,
REK,105,,,IS-2,
ABV,104,9.006790161,7.263169765,NG-FC,
GRK,104,31.06719971,-97.8289032,US-TX,
ILE,104,31.08580017,-97.68650055,US-TX,
COK,103,10.15200043,76.40190125,IN-KL,
EVN,103,40.14730072,44.39590073,AM-ER,
KRT,103,15.58950043,32.55319977,SD-03,
WRO,103,51.10269928,16.88579941,PL-DS,
GEG,102,47.61989975,-117.5339966,US-WA,
ORK,102,51.84130096,-8.491109848,IE-C,
SHJ,102,25.32859993,55.51720047,AE-SH,
UIO,102,-0.129166667,-78.3575,EC-P,
YYJ,102,48.64690018,-123.4260025,CA-BC,
BMA,101,59.35440063,17.94169998,SE-AB,
TIJ,101,32.54109955,-116.9700012,MX-BCN,
AAL,100,57.09275891,9.849243164,DK-81,
ABJ,100,5.261390209,-3.926290035,CI-01,
EMA,100,52.83110046,-1.328060031,GB-ENG,
FDH,100,47.67129898,9.511489868,DE-BW,
NGO,100,34.85839844,136.8049927,JP-23,
NQT,100,52.91999817,-1.079169989,GB-ENG,
RAK,100,31.60689926,-8.036299706,MA-MAR,
TFN,100,28.48270035,-16.34149933,ES-CN,
BSB,99,-15.86916733,-47.92083359,BR-DF,
EBL,99,36.23759842,43.96319962,IQ-AR,
GSP,99,34.89569855,-82.21890259,US-SC,
HKT,99,8.113200188,98.31690216,TH-83,
LHE,99,31.52160072,74.4036026,PK-PB,
MLE,99,4.191830158,73.52909851,MV-MLE,
POS,99,10.59539986,-61.33720016,TT-TUP,
TIA,99,41.41469955,19.72060013,AL-11,
ALB,98,42.74829865,-73.80169678,US-NY,
MRU,98,-20.43020058,57.68360138,MU-GP,
POZ,98,52.42100143,16.82629967,PL-WP,
SJJ,98,43.82460022,18.3314991,BA-BIH,
TRD,98,63.4578018,10.9239998,NO-17,
GSO,97,36.09780121,-79.93730164,US-NC,
ICT,97,37.64989853,-97.43309784,US-KS,
PVC,97,42.07189941,-70.2213974,US-MA,
SVX,97,56.74309921,60.80270004,RU-SVE,
TRS,97,45.827499,13.4722,IT-36,
DAB,96,29.179899,-81.058098,US-FL,
GDL,96,20.52179909,-103.310997,MX-JAL,
GRZ,96,46.99110031,15.43959999,AT-6,
MSN,96,43.13990021,-89.33750153,US-WI,
SAV,96,32.12760162,-81.20210266,US-GA,
YLW,96,49.95610046,-119.3779984,CA-BC,
GRR,95,42.88079834,-85.52279663,US-MI,
IBZ,95,38.8728981,1.37311995,ES-PM,
FMO,94,52.13460159,7.684830189,DE-NW,
FYV,94,36.00510025,-94.17009735,US-AR,
ORH,94,42.26729965,-71.8757019,US-MA,
TSE,94,51.02220154,71.46690369,KZ-AKM,
XNA,94,36.281898,-94.306801,US-AR,
YQR,94,50.43190002,-104.6660004,CA-SK,
BTV,93,44.47190094,-73.15329742,US-VT,
FAO,93,37.01440048,-7.965909958,PT-08,
ELP,92,31.80719948,-106.3779984,US-TX,
GUA,92,14.58329964,-90.52749634,GT-GU,
HBE,92,30.91769981,29.69639969,EG-ALX,
ODS,92,46.42679977,30.67650032,UA-51,
PNS,92,30.47340012,-87.18659973,US-FL,
POA,92,-29.99440002,-51.17139816,BR-RS,
ADB,91,38.29240036,27.15699959,TR-35,
IZM,91,,,,
KRR,91,45.03469849,39.17050171,RU-KDA,
SXM,91,18.04100037,-63.10889816,SX-U-A,
CNF,90,-19.62444305,-43.9719429,BR-MG,
DUR,90,-29.61444444,31.11972222,ZA-NL,
HPN,90,41.06700134,-73.70760345,US-NY,
HRE,90,-17.93180084,31.09280014,ZW-HA,
MED,90,24.55340004,39.70510101,SA-03,
PUS,90,35.17950058,128.9380035,KR-26,
PWM,90,43.64619827,-70.30930328,US-ME,
REC,90,-8.126489639,-34.92359924,BR-PE,
SNN,90,52.70199966,-8.924819946,IE-CE,
SPU,90,43.53889847,16.29800034,HR-17,
TYS,90,35.81100082,-83.9940033,US-TN,
BHZ,89,,,,
MDE,89,6.16454,-75.4231,CO-ANT,
MVD,89,-34.83840179,-56.03079987,UY-MO,
OVB,89,55.01259995,82.65070343,RU-NVS,
PMO,89,38.17599869,13.0909996,IT-82,
SSA,89,-12.9086113,-38.32249832,BR-BA,
CLJ,88,46.78519821,23.68619919,RO-CJ,
KGL,88,-1.968629956,30.13949966,RW-01,
SRQ,88,27.39539909,-82.55439758,US-FL,
TRV,88,8.48211956,76.92009735,IN-KL,
ADL,87,-34.94499969,138.5310059,AU-SA,
INN,87,47.2602005,11.34399986,AT-7,
KRS,87,58.20420074,8.085370064,NO-10,
NWI,87,52.67580032,1.282780051,GB-ENG,
YYT,87,47.61859894,-52.75189972,CA-NL,
CAE,86,33.93880081,-81.11949921,US-SC,
DBV,86,42.56140137,18.26819992,HR-19,
LPL,86,53.33359909,-2.849720001,GB-ENG,
SAL,86,13.4409,-89.055702,SV-PA,
CLO,85,3.54322,-76.3816,CO-VAC,
ITM,85,34.78549957,135.4380035,JP-27,
LEX,85,38.03649902,-84.60590363,US-KY,
YXU,85,43.035599,-81.1539,CA-ON,
KUF,84,53.50490189,50.16429901,RU-SAM,
MDT,84,40.19350052,-76.76339722,US-PA,
AMD,83,23.07719994,72.63469696,IN-GJ,
FAR,83,46.92070007,-96.81580353,US-ND,
TSA,83,25.06940079,121.552002,TW-TPE,
BGI,82,13.07460022,-59.49250031,BB-01,
EXT,82,50.7344017,-3.413889885,GB-ENG,
LNK,82,40.85100174,-96.75920105,US-NE,
RBA,82,34.05149841,-6.751520157,MA-RBA,
SCQ,82,42.89630127,-8.415140152,ES-GA,
FUK,81,33.58589935,130.451004,JP-40,
LWO,81,49.8125,23.95610046,UA-46,
NAS,81,25.03899956,-77.46620178,BS-NP,
PRN,81,42.5728,21.035801,XK-01,
SXB,81,48.53829956,7.628230095,FR-A,
YQM,81,46.11220169,-64.6785965,CA-NB,
AYT,80,36.898701,30.800501,TR-07,
FAT,80,36.77619934,-119.7180023,US-CA,
INV,80,57.54249954,-4.047500134,GB-SCT,
KIV,80,46.92770004,28.93099976,MD-C,
LCG,80,43.30210114,-8.377260208,ES-GA,
MFR,80,42.37419891,-122.8730011,US-OR,
